1,1,1
1,2,4
1,4,6
1,5,3
1,6,2
1,7,5
1,8,5
2,2,3
2,3,4
2,7,6
2,10,3
3,1,6
3,3,4
3,5,6
3,6,3
3,9,4
4,1,2
4,2,5
4,3,6
4,4,4
5,3,6
5,4,4
5,6,3
5,8,5
6,2,6
6,4,3
6,5,5
6,6,7
7,1,8
7,2,5
7,3,3
7,4,5
7,5,7
7,7,4
7,8,3
7,9,6
7,10,8
8,2,5
8,6,2
8,9,4
9,1,7
9,2,9
9,4,10
9,5,0
9,7,2
9,8,4
10,2,2
10,4,4
10,5,0
10,6,3
10,8,6
10,10,3
11,7,2
12,1,6
12,2,6
12,3,3
12,4,6
12,5,3
12,6,7
12,7,7
12,8,3
12,10,5
13,1,8
13,3,4
13,5,4
13,6,1
13,8,2
14,3,3
14,5,7
14,6,3
14,7,7
14,8,2
15,2,5
15,4,3
15,7,5
16,6,8
17,6,4
17,7,3
17,8,4
18,3,5
18,5,3
18,7,5
18,8,3
18,9,6
18,10,3
19,2,0
19,4,0
19,5,2
19,6,5
19,7,3
19,9,7
19,10,3
20,2,7
20,3,0
20,4,4
20,5,8
20,6,3
20,7,6
20,8,3
20,9,2
20,10,0
